date,year,month,quarter,acquisition_channel,impressions,clicks,marketing_spend_usd
2020-01-01,2020,1,Q1,Organic Search,0,0,0.0
2020-01-01,2020,1,Q1,Social Media,7771,140,306.17
2020-01-01,2020,1,Q1,Email Campaign,3614,163,97.07
2020-01-01,2020,1,Q1,Paid Ad,13592,163,550.67
2020-01-01,2020,1,Q1,Direct,0,0,0.0
2020-01-01,2020,1,Q1,Referral,0,0,0.0
2020-01-02,2020,1,Q1,Organic Search,0,0,0.0
2020-01-02,2020,1,Q1,Social Media,8389,151,330.35
2020-01-02,2020,1,Q1,Email Campaign,3592,162,96.32
2020-01-02,2020,1,Q1,Paid Ad,12665,152,513.72
2020-01-02,2020,1,Q1,Direct,0,0,0.0
2020-01-02,2020,1,Q1,Referral,0,0,0.0
2020-01-03,2020,1,Q1,Organic Search,0,0,0.0
2020-01-03,2020,1,Q1,Social Media,8416,151,331.7
2020-01-03,2020,1,Q1,Email Campaign,3883,175,104.19
2020-01-03,2020,1,Q1,Paid Ad,12423,149,503.86
2020-01-03,2020,1,Q1,Direct,0,0,0.0
2020-01-03,2020,1,Q1,Referral,0,0,0.0
2020-01-04,2020,1,Q1,Organic Search,0,0,0.0
2020-01-04,2020,1,Q1,Social Media,8981,162,353.38
2020-01-04,2020,1,Q1,Email Campaign,4055,182,108.73
2020-01-04,2020,1,Q1,Paid Ad,14278,171,579.66
2020-01-04,2020,1,Q1,Direct,0,0,0.0
2020-01-04,2020,1,Q1,Referral,0,0,0.0
2020-01-05,2020,1,Q1,Organic Search,0,0,0.0
2020-01-05,2020,1,Q1,Social Media,8766,158,345.23
2020-01-05,2020,1,Q1,Email Campaign,3560,160,95.6
2020-01-05,2020,1,Q1,Paid Ad,12786,153,519.01
2020-01-05,2020,1,Q1,Direct,0,0,0.0
2020-01-05,2020,1,Q1,Referral,0,0,0.0
2020-01-06,2020,1,Q1,Organic Search,0,0,0.0
2020-01-06,2020,1,Q1,Social Media,7153,129,281.24
2020-01-06,2020,1,Q1,Email Campaign,3356,151,90.23
